station_id,variable,median,mk_p_val,mk_trend,sen_slp,sen_incpt,sen_trend
38156,totn_mgNpm2,435.41447852,1.1894144980040267e-07,decreasing,-7.895630819999951,16250.363010979903,decreasing
38157,totn_mgNpm2,461.96509968,1.1894144980040267e-07,decreasing,-8.377089139999981,17241.274647099963,decreasing
38158,totn_mgNpm2,481.9610388599999,1.1894144980040267e-07,decreasing,-8.73968745999997,17987.555021239943,decreasing
38159,totn_mgNpm2,473.97434336000003,1.1894144980040267e-07,decreasing,-8.594859910000025,17689.47874309005,decreasing
38160,totn_mgNpm2,485.1298181799999,1.1894144980040267e-07,decreasing,-8.797148779999986,18105.818824519974,decreasing
38161,totn_mgNpm2,453.00969896,1.1894144980040267e-07,decreasing,-8.214695509999984,16907.044805489968,decreasing
38162,totn_mgNpm2,494.24032308,1.1894144980040267e-07,decreasing,-8.962355079999952,18445.837548319905,decreasing
38163,totn_mgNpm2,474.9010712599999,1.1894144980040267e-07,decreasing,-8.611664810000008,17724.065685690013,decreasing
38164,totn_mgNpm2,458.65218378,1.1894144980040267e-07,decreasing,-8.317014020000016,17117.63126584003,decreasing
38165,totn_mgNpm2,481.2897373199999,1.1894144980040267e-07,decreasing,-8.727514320000012,17962.50092028002,decreasing
38166,totn_mgNpm2,505.58553037999997,1.1894144980040267e-07,decreasing,-9.168084450000038,18869.258683730077,decreasing
38167,totn_mgNpm2,509.21038056,1.1894144980040267e-07,decreasing,-9.233816059999953,19004.543948739905,decreasing
38168,totn_mgNpm2,508.36755144,1.1894144980040267e-07,decreasing,-9.218532539999956,18973.08822905991,decreasing
38169,totn_mgNpm2,515.92556708,1.1894144980040267e-07,decreasing,-9.355586519999946,19255.165366639892,decreasing
38170,totn_mgNpm2,592.2543438,8.660138035576637e-07,decreasing,-8.024867795000006,16666.06453718501,decreasing
38171,totn_mgNpm2,419.00429676000005,6.992761596436026e-07,decreasing,-5.70074512,11837.59677212,decreasing
38172,totn_mgNpm2,325.05354616,1.0707086044448033e-06,decreasing,-4.343379657647059,9024.84300042706,decreasing
38173,totn_mgNpm2,618.08366368,2.923084081452032e-07,decreasing,-8.771300349411764,18186.998263551763,decreasing
38174,totn_mgNpm2,421.68759164000005,6.992761596436026e-07,decreasing,-5.741012269999999,11920.935168449998,decreasing
38175,totn_mgNpm2,326.54102964,1.0707086044448033e-06,decreasing,-4.365607334117643,9070.852519877639,decreasing
38176,totn_mgNpm2,295.8968747,8.660138035576637e-07,decreasing,-4.010476334117646,8328.880971937646,decreasing
38177,totn_mgNpm2,407.50443580000007,4.536347351091763e-07,decreasing,-5.675946305555559,11776.424885827784,decreasing
38178,totn_mgNpm2,343.42917420000003,4.536347351091763e-07,decreasing,-4.764250205555559,9886.222335927785,decreasing
38179,totn_mgNpm2,455.1867894,5.636930311414545e-07,decreasing,-6.245366337777777,12964.655563968889,decreasing
38180,totn_mgNpm2,389.2233134999999,1.0707086044448033e-06,decreasing,-5.257153670588229,10919.302115688224,decreasing
38181,totn_mgNpm2,297.0138633,1.3215649592446255e-06,decreasing,-3.9567766000000004,8222.437393100001,decreasing
38182,totn_mgNpm2,247.6141528,1.0707086044448033e-06,decreasing,-3.3065874552941183,6870.708825754119,decreasing
38183,totn_mgNpm2,282.06380146000004,6.992761596436026e-07,decreasing,-3.846405803333337,7986.414625536674,decreasing
38184,totn_mgNpm2,312.5189312,1.3215649592446255e-06,decreasing,-4.169270716470585,8663.568176290582,decreasing
38185,totn_mgNpm2,232.83719522,1.0707086044448033e-06,decreasing,-3.1099119058823534,6461.990742702354,decreasing
38186,totn_mgNpm2,299.64446848,1.0707086044448033e-06,decreasing,-4.018227343529414,8348.153837569416,decreasing
38187,totn_mgNpm2,438.88720007999996,2.923084081452032e-07,decreasing,-6.186482852941183,12830.41235452119,decreasing
38188,totn_mgNpm2,283.38154376000006,1.3215649592446255e-06,decreasing,-3.7707677164705897,7836.2292798505905,decreasing
38189,totn_mgNpm2,214.77677102,1.0707086044448033e-06,decreasing,-2.8720815611764694,5967.556138056468,decreasing
38190,totn_mgNpm2,562.9776088999998,5.953353165999431e-08,decreasing,-8.278471099999999,17144.755222199998,decreasing
38191,totn_mgNpm2,537.62561188,4.710908774185896e-08,decreasing,-7.982739099999992,16527.052029179984,decreasing
38192,totn_mgNpm2,460.68355773999997,3.721466046435751e-08,decreasing,-6.947020467058826,14375.565553258828,decreasing
38193,totn_mgNpm2,481.30747518000004,8.728668232649284e-09,decreasing,-7.40238884777778,15308.292337278892,decreasing
38194,totn_mgNpm2,439.1470244,3.721466046435751e-08,decreasing,-6.595910209411763,13650.755173851761,decreasing
38195,totn_mgNpm2,488.15506614000003,6.814189434933837e-09,decreasing,-7.569219311111109,15649.301346295551,decreasing
38196,totn_mgNpm2,429.91091514,3.721466046435751e-08,decreasing,-6.400567558823532,13250.247735463536,decreasing
38197,totn_mgNpm2,414.09538141999997,3.721466046435751e-08,decreasing,-6.177087510588234,12786.801665128232,decreasing
38198,totn_mgNpm2,495.8036071799999,4.131798903017625e-09,decreasing,-7.791470235294118,16102.118488474118,decreasing
38199,totn_mgNpm2,435.68569478,3.721466046435751e-08,decreasing,-6.541888590588237,13539.088541728239,decreasing
38200,totn_mgNpm2,449.7129282799999,3.721466046435751e-08,decreasing,-6.788691658823529,14047.462320903529,decreasing
