SiteID,Lat,Lon,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
38562,52.7841,-9.2206,360.27,357.86,355.41,352.94,350.43,347.90,342.77,337.58,332.35,327.07,321.74,271.70,300.61,346.61,246.24,290.07,290.24,261.76,257.64,207.23,178.17,177.57,207.38,187.00,195.81,167.30,203.43,165.48
38563,51.9809,-9.5882,277.69,274.97,272.22,269.45,266.65,263.83,258.44,253.01,247.55,242.04,236.49,212.10,219.42,286.95,168.73,216.48,195.51,186.58,198.95,155.41,138.64,125.90,168.22,146.97,151.29,123.08,145.32,109.85
23562,46.1690,8.1877,1186.78,1178.27,1169.65,1160.92,1152.06,1143.09,1092.27,1040.98,989.23,937.00,884.31,734.83,614.19,699.62,607.63,571.35,512.08,461.62,512.56,463.00,456.19,399.29,480.53,402.03,375.96,365.34,378.93,349.15
23563,45.9535,8.4578,2645.71,2627.90,2609.79,2591.41,2572.74,2553.79,2433.95,2312.90,2190.65,2067.20,1942.55,1706.81,1462.89,1408.80,1356.31,1240.11,1127.62,1112.06,1273.37,970.23,1069.78,985.27,1068.47,948.71,855.63,873.30,872.12,795.06
23564,46.1732,8.1877,1163.17,1154.76,1146.23,1137.58,1128.82,1119.95,1070.17,1019.93,969.25,918.10,866.50,719.80,602.13,687.50,595.16,558.98,502.18,452.31,502.20,453.66,447.63,392.08,471.10,394.44,369.29,357.94,371.08,342.53
23565,46.0680,8.6927,2621.17,2605.05,2588.61,2571.84,2554.75,2537.33,2420.65,2302.62,2183.23,2062.48,1940.38,1768.04,1455.96,1339.34,1348.47,1238.01,1173.19,1103.50,1263.87,945.91,1095.22,981.25,1109.74,962.18,797.67,870.97,842.29,790.53
23566,45.8015,8.3865,2830.61,2811.73,2792.61,2773.24,2753.64,2733.80,2602.93,2470.95,2337.88,2203.71,2068.44,1886.46,1847.30,1660.68,1578.70,1458.75,1328.37,1291.08,1503.52,1145.32,1290.12,1190.90,1269.11,1125.74,1076.45,1015.12,1052.16,918.99
23567,45.7917,8.3847,2851.80,2832.77,2813.50,2793.99,2774.25,2754.27,2622.27,2489.17,2354.98,2219.69,2083.30,1905.64,1877.22,1674.06,1598.13,1473.52,1343.85,1304.42,1522.45,1160.73,1307.82,1208.22,1280.01,1141.47,1092.50,1027.08,1067.42,929.62
38547,45.9382,8.2095,2533.97,2520.61,2506.99,2493.11,2478.96,2464.55,2352.61,2239.45,2125.07,2009.47,1892.65,1553.39,1375.82,1404.96,1343.13,1246.97,1077.24,1015.96,1155.59,941.70,981.59,864.34,1042.97,857.82,796.56,827.89,848.51,745.99
38548,46.0013,8.0782,1514.11,1505.23,1496.21,1487.08,1477.82,1468.44,1402.27,1335.53,1268.21,1200.31,1131.84,921.44,822.08,895.97,795.75,789.88,637.78,603.84,646.56,603.92,572.36,504.26,622.45,525.80,462.63,493.10,510.25,461.17
